Timestamps,Predicted_Revenue
2023-09-04,65361696.0
2023-09-11,74062100.0
2023-09-18,75907630.0
2023-09-25,63644184.0
2023-10-02,52495156.0
2023-10-09,48559828.0
2023-10-16,53525068.0
2023-10-23,63934052.0
2023-10-30,67913900.0
2023-11-06,69596856.0
2023-11-13,68553980.0
2023-11-20,80729350.0
2023-11-27,85813810.0
2023-12-04,82750820.0
2023-12-11,73346050.0
2023-12-18,73871270.0
2023-12-25,66826860.0
2024-01-01,66826468.0
2024-01-08,69244230.0
2024-01-15,73675384.0
2024-01-22,73740790.0
2024-01-29,72326710.0
2024-02-05,71594070.0
2024-02-12,73925010.0
2024-02-19,75113700.0
2024-02-26,77253750.0
2024-03-04,78917704.0
2024-03-11,79010310.0
2024-03-18,76416540.0
